"Source:","C:\Users\Sergio\Documents\EOS\CM4IO\CM4IOv5.kicad_sch"
"Date:","12/08/2022 17:57:32"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","124"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Code","Field4","Field5","Field6","Field7","Field8","Part Description"
"","","D4","MMBZ5242BLT3G","Diode:BZX84Cxx","Diode_SMD:D_SOT-23_ANK","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bzx84c2v4.pdf","C12773","Digikey","	MMBZ5242BLT3GOSCT-ND","MMBZ5242BLT3G","Onsemi","","	Zener Diode 12V 225mW 5% Surface Mount SOT-23-3 (TO-236)"
"","","J4","Conn_01x22_Female","Connector:Conn_01x22_Female","Connector_FFC-FPC:Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal","https://www.hirose.com/product/document?clcode=&productname=&series=FH12&documenttype=Catalog&lang=en&documentid=D31648_en","C262275","Mouser","798-FH12-22S-0.5SH55","FH12-22S-0.5SH55","Hirose","","22 Position FFC, FPC Connector Contacts, Bottom 0.020"" (0.50mm) Surface Mount, Right Angle"
"","","J5","Conn_01x22_Female","Connector:Conn_01x22_Female","Connector_FFC-FPC:Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal","https://www.hirose.com/product/document?clcode=&productname=&series=FH12&documenttype=Catalog&lang=en&documentid=D31648_en","C262275","Mouser","798-FH12-22S-0.5SH55","FH12-22S-0.5SH55","Hirose","","22 Position FFC, FPC Connector Contacts, Bottom 0.020"" (0.50mm) Surface Mount, Right Angle"
"","","J7","Micro_SD_Card_Det","Connector:Micro_SD_Card_Det","CM4IO:SDCARD_MOLEX_503398-1892","https://www.hirose.com/product/en/download_file/key_name/DM3/category/Catalog/doc_file_id/49662/?file_category_id=4&item_id=195&is_series=1","C428492","Farnell","2358234","503398-1892","Molex","UCON00512","9 (8 + 1) Position Card Connector microSD™ Surface Mount, Right Angle Gold"
"","","J10","690-019-298-412","CM4IO:HDMI_A_1.4","CM4IO:EDAC 690-019-298-412","https://www.tme.eu/Document/f15dffbcfad8545e17826f72d36911c8/206A-SEAN-R03.pdf","C111617","Farnell","2614936","690-019-298-412","EDAC","UCON00802","HDMI Connector, Right Angle, 19 Contacts, Receptacle, Surface Mount, Surface Mount Right Angle"
"","","J11","USB_OTG","Connector:USB_OTG","EOS:USB_Micro-B_EDAC_UCON00686","https://cdn.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_micro.pd","C393940","Digikey","609-4050-2-ND","690-005-298-486","EDAC","UCON00686","USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle; Through Hole"
"","","J12","10018783-11200TLF","CM4IO:PCIe-x1","CM4IO:PCIex1-36","https://www.mouser.co.uk/datasheet/2/18/10018783-1525093.pdf","C404113","Mouser","649-10018783-1200TLF","10018783-11200TLF","Amphenol FCI","","PCI Express/PCI Connectors PCIE THROUGH HOLE 36P"
"","","J13","690-008-221-904","CM4IO:USB_67298-4090","CM4IO:MOLEX_USB_67298-4090","https://www.molex.com/pdm_docs/sd/672984090_sd.pdf","C2341","Farnell","	2751688","690-008-221-904","EDAC","UCON00727","USB-A (USB TYPE-A), Stacked Receptacle Connector 8 Position Through Hole, Right Angle"
"","","J15","Conn_01x22_Female","Connector:Conn_01x22_Female","Connector_FFC-FPC:Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal","https://www.hirose.com/product/document?clcode=&productname=&series=FH12&documenttype=Catalog&lang=en&documentid=D31648_en","C262275","Mouser","798-FH12-22S-0.5SH55","FH12-22S-0.5SH55","Hirose","","22 Position FFC, FPC Connector Contacts, Bottom 0.020"" (0.50mm) Surface Mount, Right Angle"
"","","J16","Conn_01x22_Female","Connector:Conn_01x22_Female","Connector_FFC-FPC:Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal","https://www.hirose.com/product/document?clcode=&productname=&series=FH12&documenttype=Catalog&lang=en&documentid=D31648_en","C262275","Mouser","798-FH12-22S-0.5SH55","FH12-22S-0.5SH55","Hirose","","22 Position FFC, FPC Connector Contacts, Bottom 0.020"" (0.50mm) Surface Mount, Right Angle"
